Date,Month,Day,Type
28/11/2025,11,Friday,Weekday
29/11/2025,11,Saturday,Weekend
30/11/2025,11,Sunday,Weekend
01/12/2025,12,Monday,Weekday
02/12/2025,12,Tuesday,Weekday
03/12/2025,12,Wednesday,Weekday
04/12/2025,12,Thursday,Weekday
05/12/2025,12,Friday,Weekday
06/12/2025,12,Saturday,Weekend
07/12/2025,12,Sunday,Weekend
08/12/2025,12,Monday,Weekday
09/12/2025,12,Tuesday,Weekday
10/12/2025,12,Wednesday,Weekday
11/12/2025,12,Thursday,Weekday
12/12/2025,12,Friday,Weekday
13/12/2025,12,Saturday,Weekend
14/12/2025,12,Sunday,Weekend
15/12/2025,12,Monday,Weekday
16/12/2025,12,Tuesday,Weekday
17/12/2025,12,Wednesday,Weekday
18/12/2025,12,Thursday,Weekday
19/12/2025,12,Friday,Weekday
20/12/2025,12,Saturday,Weekend
21/12/2025,12,Sunday,Weekend
22/12/2025,12,Monday,Weekday
23/12/2025,12,Tuesday,Weekday
24/12/2025,12,Wednesday,Weekday
25/12/2025,12,Thursday,Weekday
26/12/2025,12,Friday,Weekday
27/12/2025,12,Saturday,Weekend
28/12/2025,12,Sunday,Weekend
29/12/2025,12,Monday,Weekday
30/12/2025,12,Tuesday,Weekday
31/12/2025,12,Wednesday,Weekday
